Learning_rate,Epoche,Batch_size,Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F-score_0,F-score_1
0.001,5,8,0,0,0,0,0,0,0
0.001,5,16,0,0,0,0,0,0,0
0.001,5,32,0,0,0,0,0,0,0
0.001,5,64,0,0,0,0,0,0,0
0.001,5,128,0,0,0,0,0,0,0
0.001,5,256,0,0,0,0,0,0,0
0.001,10,8,0,0,0,0,0,0,0
0.001,10,16,0,0,0,0,0,0,0
0.001,10,32,0,0,0,0,0,0,0
0.001,10,64,0,0,0,0,0,0,0
0.001,10,128,0,0,0,0,0,0,0
0.001,10,256,0,0,0,0,0,0,0
0.001,15,8,0,0,0,0,0,0,0
0.001,15,16,0,0,0,0,0,0,0
0.001,15,32,0,0,0,0,0,0,0
0.001,15,64,0,0,0,0,0,0,0
0.001,15,128,0,0,0,0,0,0,0
0.001,15,256,0,0,0,0,0,0,0
0.001,20,16,0,0,0,0,0,0,0
0.001,20,32,0,0,0,0,0,0,0
0.001,20,64,0,0,0,0,0,0,0
0.001,25,16,0,0,0,0,0,0,0
0.001,25,32,0,0,0,0,0,0,0
0.001,25,64,0,0,0,0,0,0,0
0.01,20,16,0,0,0,0,0,0,0
0.0001,20,16,0,0,0,0,0,0,0
0.01,25,16,0.99,1.0,0.98,0.98,1.0,0.99,0.99
0.0001,25,16,0.99,0.99,0.98,0.98,0.99,0.99,0.99
0.002,20,16,0.99,1.0,0.98,0.98,1.0,0.99,0.99
0.003,20,16,0.99,0.99,0.99,0.98,0.99,0.99,0.99
0.002,25,16,0.99,1.0,0.99,0.98,1.0,0.99,0.99
0.003,25,16,0.99,1.0,0.99,0.98,1.0,0.99,0.99
